variant,N,C_in,C_cv,C_cv_cox_same_feats,n_Tpred_le_0,coefficients
main,1814,0.6553769462882129,0.6540357757837214,0.6563876053926911,3,GRADE=+0.008358 ER_BIN=-4.5e-05 HER2_BIN=+0.02788 PR_BIN=-0.00718
treat_HT,1814,0.6529594145746168,0.6507213594021786,0.6574715247605105,3,GRADE=+0.008086 ER_BIN=-0.00137 HER2_BIN=+0.02877 PR_BIN=-0.007008 HT_BIN=+0.003043
treat_HTCT,1814,0.6543355480115869,0.6515893122603127,0.6586915911964086,3,GRADE=+0.007322 ER_BIN=+0.003007 HER2_BIN=+0.02806 PR_BIN=-0.00702 HT_BIN=+0.003457 CHEMO_BIN=+0.01502
cont_recept,1814,0.6571309369673749,0.6538275834822936,0.6563077289682526,3,GRADE=+0.007475 ESR1_Z=-0.002153 ERBB2_Z=+0.003334 PGR_Z=-0.005298
her2_cn,1810,0.6525391585914827,0.6484467549028315,0.652562671307758,3,GRADE=+0.008519 ER_BIN=-0.001784 HER2_CN=+0.008347 PR_BIN=-0.009066
mki67,1814,0.6720641139112914,0.6695565959134715,0.669284576961364,3,GRADE=+0.003453 ER_BIN=+0.003791 HER2_BIN=+0.02705 PR_BIN=-0.004183 MKI67_Z=+0.01137
imm_sig,1814,0.6613622912486969,0.658367073028738,0.6590717194924973,3,soil:IMM_SIG_Z=-1.028 GRADE=+0.009844 ER_BIN=-0.005112 HER2_BIN=+0.02995 PR_BIN=-0.009252
imm_cyt,1814,0.6625675534363448,0.6594822490309544,0.6612771898237328,3,soil:CYT_Z=-1.038 GRADE=+0.009227 ER_BIN=-0.004452 HER2_BIN=+0.02861 PR_BIN=-0.009432
imm_pdl1,1814,0.6558987234785721,0.6537125195830992,0.6557572423935677,3,soil:PDL1_Z=-0.1315 GRADE=+0.008406 ER_BIN=-0.0003 HER2_BIN=+0.02799 PR_BIN=-0.007374
mki67_imm,1814,0.676369853783801,0.6728476725499866,0.6726728952392805,3,soil:IMM_SIG_Z=-0.922 GRADE=+0.004884 ER_BIN=-0.000683 HER2_BIN=+0.02857 PR_BIN=-0.005972 MKI67_Z=+0.01137
