variant,N,C_in,C_cv,C_cv_cox_same_feats,n_Tpred_le_0,coefficients
main,1814,0.6591167088364692,0.6570013692905292,0.6563876053926911,0,GRADE=+0.008796 ER_BIN=+0.000161 HER2_BIN=+0.02847 PR_BIN=-0.005489
treat_HT,1814,0.6550918015219939,0.6522293923572708,0.6574715247605105,0,GRADE=+0.008471 ER_BIN=-0.002001 HER2_BIN=+0.02991 PR_BIN=-0.005098 HT_BIN=+0.004812
treat_HTCT,1814,0.6552141604292372,0.6519606704682046,0.6586915911964086,0,GRADE=+0.007452 ER_BIN=+0.004744 HER2_BIN=+0.02828 PR_BIN=-0.005416 HT_BIN=+0.005528 CHEMO_BIN=+0.02082
cont_recept,1814,0.661219988378599,0.6566543896307637,0.6563077289682526,0,GRADE=+0.007625 ESR1_Z=-0.002565 ERBB2_Z=+0.003599 PGR_Z=-0.005052
her2_cn,1810,0.6556633932461047,0.6522267558033749,0.652562671307758,0,GRADE=+0.009163 ER_BIN=-0.001568 HER2_CN=+0.008914 PR_BIN=-0.007361
mki67,1814,0.6746018484280384,0.6714611250461002,0.669284576961364,0,GRADE=+0.003626 ER_BIN=+0.003689 HER2_BIN=+0.02806 PR_BIN=-0.002812 MKI67_Z=+0.01162
imm_sig,1814,0.6631324527085518,0.6602723736756626,0.6590717194924973,0,soil:IMM_SIG_Z=-0.1746 GRADE=+0.009591 ER_BIN=-0.0028 HER2_BIN=+0.02946 PR_BIN=-0.006002
imm_cyt,1814,0.6644077882792025,0.6618633594839897,0.6612771898237328,0,soil:CYT_Z=-0.1934 GRADE=+0.009312 ER_BIN=-0.002612 HER2_BIN=+0.0288 PR_BIN=-0.006202
imm_pdl1,1814,0.6591393479294393,0.6571798184828846,0.6557572423935677,0,soil:PDL1_Z=-0.01058 GRADE=+0.008804 ER_BIN=+8e-05 HER2_BIN=+0.02849 PR_BIN=-0.005516
mki67_imm,1814,0.6775535549305249,0.6735684658881069,0.6726728952392805,0,soil:IMM_SIG_Z=-0.1598 GRADE=+0.004362 ER_BIN=+0.000869 HER2_BIN=+0.02883 PR_BIN=-0.003367 MKI67_Z=+0.01186
